tile_id,candidate_id,dataset_version,dataset_source,city_id,city_name,split,row_offset,col_offset,tile_size,grid_offset,source_width_pixels,source_height_pixels,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction,unlabeled_pixel_count,semantic_nodata_pixel_count,buildings_pixel_count,roads_pixel_count,vegetation_pixel_count,bare_land_pixel_count,water_pixel_count,contains_buildings,contains_roads,contains_vegetation,contains_bare_land,contains_water,selection_rank,priority_tier,selection_reason,enrichment_score,simulation_match,simulation_difference,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,source_image,source_semantic_mask,source_validity_mask,image_path,semantic_mask_path,validity_mask_path,qa_pass,qa_status,qa_failure_count,qa_failures
DE01_off128_r000_c005,DE01_off128_r000_c005,v2.2,v22_offset_enrichment,DE01,Mannheim,train,128,1408,256,128,256,256,0,0.0,35673,0.5443267822265625,29863,0,9766,6642,18039,37,1189,True,True,True,True,True,466,3,road_rich+building_rich+mixed_minority,17.06699098204155,True,,460404.5904690316,5492948.165275654,462964.5904690316,5495508.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r000_c005_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r000_c005_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r000_c005_validity.tif,True,accepted,0,
DE01_off128_r002_c000,DE01_off128_r002_c000,v2.2,v22_offset_enrichment,DE01,Mannheim,train,640,128,256,128,256,256,0,0.0,56445,0.8612823486328125,9091,0,2279,2586,47519,3677,384,True,True,True,True,True,91,1,bare_land_rich,6.789548365984682,True,,447604.5904690316,5487828.165275654,450164.5904690316,5490388.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r002_c000_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r002_c000_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r002_c000_validity.tif,True,accepted,0,
DE01_off128_r003_c000,DE01_off128_r003_c000,v2.2,v22_offset_enrichment,DE01,Mannheim,train,896,128,256,128,256,256,0,0.0,62016,0.9462890625,3520,0,334,906,56725,3739,312,True,True,True,True,True,100,1,bare_land_rich,2.771252983101135,True,,447604.5904690316,5485268.165275654,450164.5904690316,5487828.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r003_c000_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r003_c000_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r003_c000_validity.tif,True,accepted,0,
DE01_off128_r003_c002,DE01_off128_r003_c002,v2.2,v22_offset_enrichment,DE01,Mannheim,train,896,640,256,128,256,256,0,0.0,41288,0.6300048828125,24248,0,9590,6081,24790,280,547,True,True,True,True,True,494,3,road_rich+building_rich+mixed_minority,16.023484828559447,True,,452724.5904690316,5485268.165275654,455284.5904690316,5487828.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r003_c002_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r003_c002_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r003_c002_validity.tif,True,accepted,0,
DE01_off128_r003_c003,DE01_off128_r003_c003,v2.2,v22_offset_enrichment,DE01,Mannheim,train,896,896,256,128,256,256,0,0.0,35915,0.5480194091796875,29621,0,8766,7641,17418,339,1751,True,True,True,True,True,454,3,road_rich+building_rich+mixed_minority,17.914440124758137,True,,455284.5904690316,5485268.165275654,457844.5904690316,5487828.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r003_c003_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r003_c003_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r003_c003_validity.tif,True,accepted,0,
DE01_off128_r003_c004,DE01_off128_r003_c004,v2.2,v22_offset_enrichment,DE01,Mannheim,train,896,1152,256,128,256,256,0,0.0,40243,0.6140594482421875,25293,0,5986,3914,18895,128,11320,True,True,True,True,True,471,3,road_rich+water_rich+building_rich+mixed_minority,16.935258166031616,True,,457844.5904690316,5485268.165275654,460404.5904690316,5487828.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r003_c004_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r003_c004_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r003_c004_validity.tif,True,accepted,0,
DE01_off128_r003_c005,DE01_off128_r003_c005,v2.2,v22_offset_enrichment,DE01,Mannheim,train,896,1408,256,128,256,256,0,0.0,38618,0.589263916015625,26918,0,10814,6438,11381,4252,5733,True,True,True,True,True,2,1,bare_land_rich+road_rich+water_rich+building_rich+mixed_minority,30.53612807262653,True,,460404.5904690316,5485268.165275654,462964.5904690316,5487828.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r003_c005_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r003_c005_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r003_c005_validity.tif,True,accepted,0,
DE01_off128_r004_c004,DE01_off128_r004_c004,v2.2,v22_offset_enrichment,DE01,Mannheim,train,1152,1152,256,128,256,256,0,0.0,39461,0.6021270751953125,26075,0,12138,5905,11686,195,9537,True,True,True,True,True,439,3,road_rich+water_rich+building_rich+mixed_minority,22.475939193489324,True,,457844.5904690316,5482708.165275654,460404.5904690316,5485268.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r004_c004_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r004_c004_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r004_c004_validity.tif,True,accepted,0,
DE01_off128_r004_c005,DE01_off128_r004_c005,v2.2,v22_offset_enrichment,DE01,Mannheim,train,1152,1408,256,128,256,256,0,0.0,39264,0.59912109375,26272,0,14747,7418,9813,483,6803,True,True,True,True,True,120,2,bare_land_moderate+road_rich+water_rich+building_rich+mixed_minority,23.083228673212105,True,,460404.5904690316,5482708.165275654,462964.5904690316,5485268.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r004_c005_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r004_c005_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r004_c005_validity.tif,True,accepted,0,
DE01_off128_r004_c006,DE01_off128_r004_c006,v2.2,v22_offset_enrichment,DE01,Mannheim,train,1152,1664,256,128,256,256,0,0.0,35012,0.53424072265625,30524,0,13031,8362,11387,2045,187,True,True,True,True,True,45,1,bare_land_rich+road_rich+building_rich+mixed_minority,20.92056541133441,True,,462964.5904690316,5482708.165275654,465524.5904690316,5485268.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\processed\masks\DE01_Mannheim\DE01_label_mask.tif,data\processed\masks\DE01_Mannheim\DE01_validity_mask.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\images\DE01_off128_r004_c006_image.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\semantic_masks\DE01_off128_r004_c006_semantic.tif,data\processed\tiles_v22_enrichment\train\DE01_Mannheim\validity_masks\DE01_off128_r004_c006_validity.tif,True,accepted,0,
