city_id,city_name,country,split,aoi_size_km,utm_epsg,center_lat,center_lon,min_lon,min_lat,max_lon,max_lat
DE01,Mannheim,DE,train,30.0,32632,49.4875,8.466,8.25686319164285,49.35144548618943,8.673998684450966,49.62318963061113
DE02,Heidelberg,DE,train,30.0,32632,49.3988,8.6724,8.464203563805716,49.263108837992995,8.879463789378113,49.534123911064704
DE03,Karlsruhe,DE,train,30.0,32632,49.0069,8.4037,8.196437146107417,48.87073528024779,8.609854697588087,49.142706987385374
DE04,Stuttgart,DE,train,30.0,32632,48.7758,9.1829,8.978678431248845,48.640357146317555,9.388101930825574,48.91088108135129
DE05,Munich,DE,train,30.0,32632,48.1351,11.582,11.374354673417795,47.99559881437956,11.790697685648581,48.274287257095686
DE06,Nuremberg,DE,train,30.0,32632,49.4521,11.0767,10.864743977456135,49.31338170951985,11.289789119534998,49.590480170941326
DE07,Frankfurt,DE,train,30.0,32632,50.1109,8.6821,8.470835251292499,49.97523208611145,8.892186102189356,50.24619121823778
DE08,Cologne,DE,train,30.0,32632,50.9375,6.9603,6.7404371208129445,50.79879097779709,7.178930789418383,51.07585146207933
DE09,Dusseldorf,DE,train,30.0,32632,51.2277,6.7735,6.551707177569326,51.08865614904275,6.994040715497405,51.3663857940418
DE10,Dortmund,DE,train,30.0,32632,51.5136,7.4653,7.244043989760136,51.37575913867101,7.685281121245947,51.65106668629261
DE11,Hamburg,DE,train,30.0,32632,53.5511,9.9937,9.764887283055803,53.41420495663516,10.223951137016805,53.68758187172879
DE12,Bremen,DE,train,30.0,32632,53.0793,8.8017,8.576457395745496,52.94387871969592,9.025703476592234,53.214300535024115
DE13,Hanover,DE,train,30.0,32632,52.3759,9.732,9.510109347293824,52.23949139300207,9.955232576688188,52.5119079619853
DE14,Berlin,DE,train,30.0,32633,52.52,13.405,13.17845665744921,52.382028651421535,13.630191674429925,52.657584315919266
DE15,Leipzig,DE,val,30.0,32633,51.3397,12.3731,12.149644847859559,51.199959821793556,12.595296461814499,51.47908777134415
DE16,Dresden,DE,val,30.0,32633,51.0504,13.7373,13.519062326299172,50.913049354516914,13.954295669766058,51.18737789659174
DE17,Munster,DE,val,30.0,32632,51.9607,7.6261,7.403077619503182,51.82313611625224,7.847813678052134,52.09788069274962
DE18,Freiburg,DE,test,30.0,32632,47.999,7.8421,7.6375156413490535,47.86187589183849,8.045636363617364,48.135788077092116
DE19,Kiel,DE,test,30.0,32632,54.3233,10.1228,9.88929962411098,54.18615832047642,10.357807379848145,54.460019086591494
DE20,Rostock,DE,test,30.0,32633,54.0924,12.0991,11.8599088901122,53.95203825900684,12.33681162227109,54.232376339801476
