tile_id,city_id,city_name,split,tile_row,tile_col,row_offset,col_offset,tile_size,stride,source_width_pixels,source_height_pixels,source_pixel_count,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction_all_pixels,valid_fraction_source_pixels,ignore_pixel_count,ignore_fraction_source_pixels,conflict_pixel_count,conflict_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,buildings_fraction_source_pixels,roads_pixel_count,roads_fraction_valid,roads_fraction_source_pixels,vegetation_pixel_count,vegetation_fraction_valid,vegetation_fraction_source_pixels,bare_land_pixel_count,bare_land_fraction_valid,bare_land_fraction_source_pixels,water_pixel_count,water_fraction_valid,water_fraction_source_pixels,support_1_pixel_count,support_1_fraction_valid,support_2_pixel_count,support_2_fraction_valid,support_3_pixel_count,support_3_fraction_valid,provenance_1_pixel_count,provenance_2_pixel_count,provenance_3_pixel_count,provenance_4_pixel_count,provenance_5_pixel_count,provenance_6_pixel_count,provenance_7_pixel_count,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,source_sar_path,source_semantic_path,source_validity_path,source_provenance_path,source_support_path,source_conflict_path
DE01_r000_c000,DE01,Mannheim,train,0,0,0,0,256,256,256,256,65536,0,0.0,53154,0.811065673828125,0.811065673828125,12382,0.188934326171875,1653,0.0252227783203125,1779,0.033468788802347896,0.0271453857421875,1491,0.028050570041765435,0.0227508544921875,49884,0.9384806411558867,0.76116943359375,0,0.0,0.0,0,0.0,0.0,501,0.009425443052263236,16428,0.3090642284682244,36225,0.6815103284795123,501,0,1733,0,10716,3979,36225,446324.5904690316,5494228.165275654,448884.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c001,DE01,Mannheim,train,0,1,0,256,256,256,256,256,65536,0,0.0,51894,0.791839599609375,0.791839599609375,13642,0.208160400390625,2525,0.0385284423828125,3051,0.058792924037460975,0.0465545654296875,1797,0.0346282807260955,0.0274200439453125,47046,0.9065787952364435,0.717864990234375,0,0.0,0.0,0,0.0,0.0,678,0.013065094230546885,21344,0.41129995760588894,29872,0.5756349481635642,678,0,2981,0,17048,1315,29872,448884.5904690316,5494228.165275654,451444.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c002,DE01,Mannheim,train,0,2,0,512,256,256,256,256,65536,0,0.0,41461,0.6326446533203125,0.6326446533203125,24075,0.3673553466796875,6759,0.1031341552734375,6025,0.14531728612430958,0.0919342041015625,4158,0.10028701671450278,0.063446044921875,30815,0.7432285762523818,0.4701995849609375,193,0.004654976966305685,0.0029449462890625,270,0.006512143942500181,0.004119873046875,1871,0.04512674561636237,22627,0.545741781433154,16963,0.4091314729504836,1871,0,5756,0,16461,410,16963,451444.5904690316,5494228.165275654,454004.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c003,DE01,Mannheim,train,0,3,0,768,256,256,256,256,65536,0,0.0,53547,0.8170623779296875,0.8170623779296875,11989,0.1829376220703125,3136,0.0478515625,895,0.016714288382168936,0.0136566162109375,1395,0.026051879657123647,0.0212860107421875,46745,0.8729714082955161,0.7132720947265625,0,0.0,0.0,4512,0.08426242366519132,0.06884765625,477,0.008908062076306796,32232,0.6019384839486805,20838,0.3891534539750126,477,0,1366,0,26345,4521,20838,454004.5904690316,5494228.165275654,456564.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c004,DE01,Mannheim,train,0,4,0,1024,256,256,256,256,65536,0,0.0,57736,0.8809814453125,0.8809814453125,7800,0.1190185546875,3556,0.05426025390625,603,0.010444090342247471,0.0092010498046875,632,0.010946376610780103,0.0096435546875,49549,0.8581993903283913,0.7560577392578125,0,0.0,0.0,6952,0.12041014271858112,0.1060791015625,511,0.00885063045586809,32045,0.5550263267285576,25180,0.43612304281557435,511,0,785,0,28831,2429,25180,456564.5904690316,5494228.165275654,459124.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c005,DE01,Mannheim,train,0,5,0,1280,256,256,256,256,65536,0,0.0,46487,0.7093353271484375,0.7093353271484375,19049,0.2906646728515625,6746,0.102935791015625,3427,0.07371953449351432,0.0522918701171875,3240,0.06969690451093855,0.0494384765625,32572,0.7006690042377439,0.49700927734375,0,0.0,0.0,7248,0.15591455675780325,0.110595703125,1443,0.031040936175705035,27283,0.5868952610407211,17761,0.3820638027835739,1443,0,3525,0,23716,42,17761,459124.5904690316,5494228.165275654,461684.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c006,DE01,Mannheim,train,0,6,0,1536,256,256,256,256,65536,0,0.0,54572,0.83270263671875,0.83270263671875,10964,0.16729736328125,2773,0.0423126220703125,2523,0.04623250018324415,0.0384979248046875,1592,0.029172469398226198,0.0242919921875,50239,0.9206003078501795,0.7665863037109375,218,0.003994722568350069,0.003326416015625,0,0.0,0.0,1015,0.018599281682914314,18908,0.34647804735028953,34649,0.6349226709667961,1015,0,2358,0,16302,248,34649,461684.5904690316,5494228.165275654,464244.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c007,DE01,Mannheim,train,0,7,0,1792,256,256,256,256,65536,0,0.0,62354,0.951446533203125,0.951446533203125,3182,0.048553466796875,1172,0.01788330078125,593,0.009510215864258908,0.0090484619140625,511,0.008195143856047728,0.0077972412109375,61250,0.9822946402796934,0.934600830078125,0,0.0,0.0,0,0.0,0.0,409,0.006559322577541136,5099,0.0817750264618148,56846,0.9116656509606441,409,0,2071,0,2698,330,56846,464244.5904690316,5494228.165275654,466804.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c008,DE01,Mannheim,train,0,8,0,2048,256,256,256,256,65536,0,0.0,57884,0.88323974609375,0.88323974609375,7652,0.11676025390625,2227,0.0339813232421875,242,0.004180775343791031,0.003692626953125,1127,0.019469974431621864,0.0171966552734375,54592,0.9431276345795039,0.8330078125,1923,0.03322161564508327,0.0293426513671875,0,0.0,0.0,601,0.010382834634786816,17803,0.3075634026674038,39480,0.6820537626978094,601,0,1980,0,15026,797,39480,466804.5904690316,5494228.165275654,469364.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
DE01_r000_c009,DE01,Mannheim,train,0,9,0,2304,256,256,256,256,65536,0,0.0,40037,0.6109161376953125,0.6109161376953125,25499,0.3890838623046875,621,0.0094757080078125,381,0.009516197517296501,0.0058135986328125,667,0.01665958987936159,0.0101776123046875,38989,0.973824212603342,0.5949249267578125,0,0.0,0.0,0,0.0,0.0,589,0.014711391962434747,26708,0.6670829482728476,12740,0.31820565976471765,589,0,14632,0,11995,81,12740,469364.5904690316,5494228.165275654,471924.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif
