city_id,city_name,split,candidate_tile_count,source_pixel_count,padding_pixel_count,valid_pixel_count,ignore_pixel_count,valid_fraction_source_pixels,ignore_fraction_source_pixels,conflict_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,roads_pixel_count,roads_fraction_valid,vegetation_pixel_count,vegetation_fraction_valid,bare_land_pixel_count,bare_land_fraction_valid,water_pixel_count,water_fraction_valid,support_1_fraction_valid,support_2_fraction_valid,support_3_fraction_valid
DE01,Mannheim,train,144,9000000,437184,6544620,2455380,0.72718,0.27282,0.078978,556662,0.08505642802790689,421821,0.06445309276932809,5255120,0.8029679339671364,19147,0.002925609126274711,291870,0.04459693610935394,0.04967469463467703,0.5418731721627841,0.40845213320253887
DE02,Heidelberg,train,144,9000000,437184,5723802,3276198,0.635978,0.364022,0.04858766666666667,446433,0.07799588455365856,350614,0.06125543825590054,4766958,0.8328306954014133,13061,0.002281874879669143,146736,0.0256361069093585,0.06556987820333408,0.5506098918166631,0.3838202299800028
DE03,Karlsruhe,train,144,9000000,437184,6958983,2041017,0.7732203333333333,0.22677966666666666,0.06816844444444445,395025,0.05676476002312407,302576,0.04347991653378087,5979074,0.8591879014505425,10962,0.0015752301737193496,271346,0.038992191818833295,0.029180988084034694,0.48569151555622425,0.48512749635974106
DE04,Stuttgart,train,144,9000000,437184,6514858,2485142,0.7238731111111111,0.27612688888888887,0.08886033333333333,664467,0.10199255302264455,471328,0.07234662674151915,5322866,0.8170348455791362,13160,0.00201999798000202,43037,0.0066059766766980955,0.045503831395864655,0.5134150276184071,0.4410811409857283
DE05,Munich,train,144,9000000,437184,6333863,2666137,0.7037625555555556,0.29623744444444444,0.09001466666666667,689010,0.10878195502491923,481161,0.07596643628067105,4978522,0.7860166852361663,37858,0.005977079074807902,147312,0.023257844383435512,0.05293467825243457,0.5374195810676675,0.4096457406798979
DE06,Nuremberg,train,144,9000000,437184,6720695,2279305,0.7467438888888889,0.2532561111111111,0.04514144444444444,489212,0.07279187643539842,363936,0.054151542362806226,5798613,0.8627996062907184,18994,0.002826195802666242,49940,0.007430779108410663,0.06413875350689177,0.6361737885739496,0.2996874579191587
DE07,Frankfurt,train,144,9000000,437184,6188181,2811819,0.6875756666666667,0.31242433333333336,0.04852211111111111,655850,0.10598429490022997,462725,0.07477560853504446,4961370,0.8017493347398856,11153,0.0018023066875387129,97083,0.01568845513730125,0.10171793617542861,0.6982308694590543,0.2000511943655171
DE08,Cologne,train,144,9000000,437184,5891600,3108400,0.6546222222222222,0.3453777777777778,0.09889333333333333,758441,0.12873260234910722,524385,0.0890055333016498,4251618,0.7216406409124856,66087,0.01121715662977799,291069,0.04940406680697943,0.050039547830809966,0.5410635481023831,0.40889690406680695
DE09,Dusseldorf,train,144,9000000,437184,5826782,3173218,0.6474202222222222,0.35257977777777777,0.09253777777777777,722402,0.12397958255517368,504515,0.08658552868461528,4291704,0.736547892129824,17192,0.002950513679763547,290969,0.049936482950623515,0.0571710079422913,0.6314775462682489,0.3113514457894598
DE10,Dortmund,train,144,9000000,437184,5687619,3312381,0.6319576666666666,0.36804233333333336,0.09532311111111111,665587,0.11702383721553782,545651,0.0959366300731466,4325951,0.7605908553297962,36767,0.006464392217551844,113663,0.01998428516396756,0.056644265377128813,0.6354216061237575,0.3079341284991136
DE11,Hamburg,train,144,9000000,437184,5244474,3755526,0.5827193333333334,0.4172806666666667,0.08689922222222222,804953,0.15348593586315806,546455,0.10419634075791014,3395726,0.6474864781482376,35529,0.006774559278966775,461811,0.08805668595172747,0.10354517917335467,0.679747292102125,0.21670752872452032
DE12,Bremen,train,144,9000000,437184,6245345,2754655,0.6939272222222223,0.3060727777777778,0.032101,492834,0.07891221381685079,350300,0.05608977566491523,5175135,0.8286387701560122,12528,0.002005974049472047,214548,0.034353266312749736,0.09113155478200163,0.8540348051228555,0.05483364009514286
DE13,Hanover,train,144,9000000,437184,6064309,2935691,0.6738121111111111,0.3261878888888889,0.030814777777777778,484416,0.07987983461924517,348984,0.057547199524298646,5070650,0.836146377105784,34381,0.0056694010809805375,125878,0.020757187669691632,0.09158256942382059,0.823578745740034,0.08483868483614539
DE14,Berlin,train,144,9000000,437184,4800130,4199870,0.5333477777777778,0.46665222222222225,0.1681931111111111,1036023,0.21583227954242906,707524,0.14739684133554717,2789508,0.5811317610148059,10137,0.0021118178049344496,256938,0.05352730030228348,0.08509227875078383,0.5661686245997504,0.34873909664946573
DE15,Leipzig,val,144,9000000,437184,6635024,2364976,0.7372248888888889,0.2627751111111111,0.08087311111111112,363897,0.054844865670418075,323762,0.04879590488293637,5566212,0.8389136196040888,32637,0.0049188970529722275,348516,0.052526712789584484,0.03430221201912759,0.6735036678088882,0.2921941201719843
DE16,Dresden,val,144,9000000,437184,6702899,2297101,0.7447665555555556,0.25523344444444446,0.05302355555555555,378823,0.05651629242809716,365957,0.05459682444864528,5822201,0.8686093882661815,18430,0.002749556572462154,117488,0.017527938284613867,0.06426652109781156,0.7931330906224306,0.14260038827975777
DE17,Munster,val,144,9000000,437184,7545267,1454733,0.838363,0.161637,0.03986166666666666,273960,0.036308854279112984,270793,0.03588912095489795,6940919,0.9199036959195744,7332,0.0009717349962565937,52263,0.0069265938501579865,0.021088716940036716,0.6198244541909518,0.35908682886901155
DE18,Freiburg,test,144,9000000,437184,7684904,1315096,0.8538782222222222,0.14612177777777777,0.050090333333333334,243938,0.031742491513231656,218325,0.028409593665711375,7191119,0.9357461069129817,6384,0.0008307195509534017,25138,0.0032710883571219628,0.020063230458051265,0.533052982834919,0.4468837867070298
DE19,Kiel,test,144,9000000,437184,6490428,2509572,0.7211586666666666,0.27884133333333333,0.03211488888888889,209831,0.03232930093362102,205298,0.03163088782434687,5255977,0.8098043765372638,18566,0.002860520138271313,800756,0.123374914566497,0.03173442491003675,0.7842923455895359,0.1839732295004274
DE20,Rostock,test,144,9000000,437184,6690357,2309643,0.743373,0.256627,0.03840533333333333,166614,0.024903603798721054,176972,0.02645180219829824,6165170,0.9215009004751167,3102,0.0004636523880564221,178499,0.026680041139807636,0.017065755982827224,0.7015987338194359,0.28133551019773684
