tile_id,city_id,city_name,split,coverage_eligible,rule_buildings,rule_roads,rule_bare_land,rule_water,selected,selection_reason,rejection_reason
DE01_r000_c000,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r000_c001,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r000_c002,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r000_c003,DE01,Mannheim,train,True,False,False,False,True,True,water>=0.050000,
DE01_r000_c004,DE01,Mannheim,train,True,False,False,False,True,True,water>=0.050000,
DE01_r000_c005,DE01,Mannheim,train,True,False,False,False,True,True,water>=0.050000,
DE01_r000_c006,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r000_c007,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r000_c008,DE01,Mannheim,train,True,False,False,True,False,True,bare_land>=0.005000,
DE01_r000_c009,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r000_c010,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r000_c011,DE01,Mannheim,train,False,False,False,False,False,False,coverage_gate_failed,coverage_gate_failed
DE01_r001_c000,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c001,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c002,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c003,DE01,Mannheim,train,True,False,False,False,True,True,water>=0.050000,
DE01_r001_c004,DE01,Mannheim,train,True,False,False,False,True,True,water>=0.050000,
DE01_r001_c005,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c006,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r001_c007,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c008,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c009,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c010,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r001_c011,DE01,Mannheim,train,False,True,False,False,False,False,coverage_gate_failed,coverage_gate_failed
DE01_r002_c000,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c001,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c002,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c003,DE01,Mannheim,train,True,False,False,False,True,True,water>=0.050000,
DE01_r002_c004,DE01,Mannheim,train,True,False,False,False,True,True,water>=0.050000,
DE01_r002_c005,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c006,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c007,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c008,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c009,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c010,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r002_c011,DE01,Mannheim,train,False,True,True,False,False,False,coverage_gate_failed,coverage_gate_failed
DE01_r003_c000,DE01,Mannheim,train,True,False,False,True,False,True,bare_land>=0.005000,
DE01_r003_c001,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r003_c002,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r003_c003,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r003_c004,DE01,Mannheim,train,True,True,True,False,True,True,buildings>=0.075000+roads>=0.075000+water>=0.050000,
DE01_r003_c005,DE01,Mannheim,train,True,True,True,False,True,True,buildings>=0.075000+roads>=0.075000+water>=0.050000,
DE01_r003_c006,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r003_c007,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r003_c008,DE01,Mannheim,train,True,True,True,True,False,True,buildings>=0.075000+roads>=0.075000+bare_land>=0.005000,
DE01_r003_c009,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r003_c010,DE01,Mannheim,train,True,True,True,False,True,True,buildings>=0.075000+roads>=0.075000+water>=0.050000,
DE01_r003_c011,DE01,Mannheim,train,False,True,True,False,False,False,coverage_gate_failed,coverage_gate_failed
DE01_r004_c000,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r004_c001,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r004_c002,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r004_c003,DE01,Mannheim,train,True,True,False,False,False,True,buildings>=0.075000,
DE01_r004_c004,DE01,Mannheim,train,True,True,True,False,True,True,buildings>=0.075000+roads>=0.075000+water>=0.050000,
DE01_r004_c005,DE01,Mannheim,train,True,True,True,True,True,True,buildings>=0.075000+roads>=0.075000+bare_land>=0.005000+water>=0.050000,
DE01_r004_c006,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r004_c007,DE01,Mannheim,train,True,True,True,True,False,True,buildings>=0.075000+roads>=0.075000+bare_land>=0.005000,
DE01_r004_c008,DE01,Mannheim,train,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,
DE01_r004_c009,DE01,Mannheim,train,True,False,False,True,False,True,bare_land>=0.005000,
DE01_r004_c010,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r004_c011,DE01,Mannheim,train,False,True,True,False,False,False,coverage_gate_failed,coverage_gate_failed
DE01_r005_c000,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r005_c001,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r005_c002,DE01,Mannheim,train,True,True,False,False,False,True,buildings>=0.075000,
DE01_r005_c003,DE01,Mannheim,train,True,True,True,False,True,True,buildings>=0.075000+roads>=0.075000+water>=0.050000,
DE01_r005_c004,DE01,Mannheim,train,True,True,True,True,False,True,buildings>=0.075000+roads>=0.075000+bare_land>=0.005000,
DE01_r005_c005,DE01,Mannheim,train,True,True,True,False,True,True,buildings>=0.075000+roads>=0.075000+water>=0.050000,
DE01_r005_c006,DE01,Mannheim,train,True,True,True,False,True,True,buildings>=0.075000+roads>=0.075000+water>=0.050000,
DE01_r005_c007,DE01,Mannheim,train,True,True,True,True,False,True,buildings>=0.075000+roads>=0.075000+bare_land>=0.005000,
DE01_r005_c008,DE01,Mannheim,train,True,False,False,False,False,False,no_training_minority_rule,no_training_minority_rule
DE01_r005_c009,DE01,Mannheim,train,True,False,False,True,False,True,bare_land>=0.005000,
