city_id,city_name,country,split,aoi_size_km,urban_character,utm_epsg,status,center_lat,center_lon
DE01,Mannheim,DE,train,30,planned_medium_city,32632,pilot_complete,49.4875,8.4660
DE02,Heidelberg,DE,train,30,medium_hilly_city,32632,pending,49.3988,8.6724
DE03,Karlsruhe,DE,train,30,planned_medium_city,32632,pending,49.0069,8.4037
DE04,Stuttgart,DE,train,30,dense_hilly_city,32632,pending,48.7758,9.1829
DE05,Munich,DE,train,30,large_metropolitan,32632,pending,48.1351,11.5820
DE06,Nuremberg,DE,train,30,historic_suburban_mix,32632,pending,49.4521,11.0767
DE07,Frankfurt,DE,train,30,dense_commercial_city,32632,pending,50.1109,8.6821
DE08,Cologne,DE,train,30,large_river_city,32632,pending,50.9375,6.9603
DE09,Dusseldorf,DE,train,30,dense_commercial_city,32632,pending,51.2277,6.7735
DE10,Dortmund,DE,train,30,industrial_city,32632,pending,51.5136,7.4653
DE11,Hamburg,DE,train,30,port_water_metropolitan,32632,pending,53.5511,9.9937
DE12,Bremen,DE,train,30,medium_northern_city,32632,pending,53.0793,8.8017
DE13,Hanover,DE,train,30,planned_low_density_city,32632,pending,52.3759,9.7320
DE14,Berlin,DE,train,30,large_heterogeneous_city,32633,pending,52.5200,13.4050
DE15,Leipzig,DE,val,30,eastern_mixed_city,32633,pending,51.3397,12.3731
DE16,Dresden,DE,val,30,river_hilly_city,32633,pending,51.0504,13.7373
DE17,Munster,DE,val,30,low_density_city,32632,pending,51.9607,7.6261
DE18,Freiburg,DE,test,30,vegetation_rich_hilly_city,32632,pending,47.9990,7.8421
DE19,Kiel,DE,test,30,coastal_city,32632,pending,54.3233,10.1228
DE20,Rostock,DE,test,30,coastal_port_city,32633,pending,54.0924,12.0991
