tile_id,city_id,city_name,split,visual_qa_reason,image_path,semantic_mask_path,validity_mask_path,provenance_mask_path,support_mask_path,conflict_mask_path,buildings_fraction_valid,roads_fraction_valid,vegetation_fraction_valid,bare_land_fraction_valid,water_fraction_valid,conflict_fraction_source_pixels
DE18_r006_c005,DE18,Freiburg,test,evaluation_city_representative,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r006_c005_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r006_c005_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r006_c005_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r006_c005_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r006_c005_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r006_c005_conflict.tif,0.4628811393098411,0.2820522183677195,0.2483111192258535,0.0,0.0067555230965857,0.2743682861328125
DE19_r006_c006,DE19,Kiel,test,evaluation_city_representative,data\processed\dataset_v3\tiles\test\DE19_Kiel\images\DE19_r006_c006_image.tif,data\processed\dataset_v3\tiles\test\DE19_Kiel\semantic_masks\DE19_r006_c006_semantic.tif,data\processed\dataset_v3\tiles\test\DE19_Kiel\validity_masks\DE19_r006_c006_validity.tif,data\processed\dataset_v3\tiles\test\DE19_Kiel\provenance_masks\DE19_r006_c006_provenance.tif,data\processed\dataset_v3\tiles\test\DE19_Kiel\support_masks\DE19_r006_c006_support.tif,data\processed\dataset_v3\tiles\test\DE19_Kiel\conflict_masks\DE19_r006_c006_conflict.tif,0.3630180434169721,0.2542641669016069,0.2948618550888074,0.0,0.0878559345926134,0.16943359375
DE20_r006_c005,DE20,Rostock,test,evaluation_city_representative,data\processed\dataset_v3\tiles\test\DE20_Rostock\images\DE20_r006_c005_image.tif,data\processed\dataset_v3\tiles\test\DE20_Rostock\semantic_masks\DE20_r006_c005_semantic.tif,data\processed\dataset_v3\tiles\test\DE20_Rostock\validity_masks\DE20_r006_c005_validity.tif,data\processed\dataset_v3\tiles\test\DE20_Rostock\provenance_masks\DE20_r006_c005_provenance.tif,data\processed\dataset_v3\tiles\test\DE20_Rostock\support_masks\DE20_r006_c005_support.tif,data\processed\dataset_v3\tiles\test\DE20_Rostock\conflict_masks\DE20_r006_c005_conflict.tif,0.1665202242084532,0.1564914406908044,0.676958036661112,3.029843963035904e-05,0.0,0.249176025390625
DE06_r006_c005,DE06,Nuremberg,train,high_buildings,data\processed\dataset_v3\tiles\train\DE06_Nuremberg\images\DE06_r006_c005_image.tif,data\processed\dataset_v3\tiles\train\DE06_Nuremberg\semantic_masks\DE06_r006_c005_semantic.tif,data\processed\dataset_v3\tiles\train\DE06_Nuremberg\validity_masks\DE06_r006_c005_validity.tif,data\processed\dataset_v3\tiles\train\DE06_Nuremberg\provenance_masks\DE06_r006_c005_provenance.tif,data\processed\dataset_v3\tiles\train\DE06_Nuremberg\support_masks\DE06_r006_c005_support.tif,data\processed\dataset_v3\tiles\train\DE06_Nuremberg\conflict_masks\DE06_r006_c005_conflict.tif,0.6808183808870151,0.291041605386149,0.0281400137268359,0.0,0.0,0.22149658203125
DE08_r009_c002,DE08,Cologne,train,high_bare_land,data\processed\dataset_v3\tiles\train\DE08_Cologne\images\DE08_r009_c002_image.tif,data\processed\dataset_v3\tiles\train\DE08_Cologne\semantic_masks\DE08_r009_c002_semantic.tif,data\processed\dataset_v3\tiles\train\DE08_Cologne\validity_masks\DE08_r009_c002_validity.tif,data\processed\dataset_v3\tiles\train\DE08_Cologne\provenance_masks\DE08_r009_c002_provenance.tif,data\processed\dataset_v3\tiles\train\DE08_Cologne\support_masks\DE08_r009_c002_support.tif,data\processed\dataset_v3\tiles\train\DE08_Cologne\conflict_masks\DE08_r009_c002_conflict.tif,0.0553773659618278,0.0415973707135503,0.4865763839391779,0.3695652173913043,0.0468836619941395,0.08746337890625
DE09_r001_c000,DE09,Dusseldorf,train,high_buildings,data\processed\dataset_v3\tiles\train\DE09_Dusseldorf\images\DE09_r001_c000_image.tif,data\processed\dataset_v3\tiles\train\DE09_Dusseldorf\semantic_masks\DE09_r001_c000_semantic.tif,data\processed\dataset_v3\tiles\train\DE09_Dusseldorf\validity_masks\DE09_r001_c000_validity.tif,data\processed\dataset_v3\tiles\train\DE09_Dusseldorf\provenance_masks\DE09_r001_c000_provenance.tif,data\processed\dataset_v3\tiles\train\DE09_Dusseldorf\support_masks\DE09_r001_c000_support.tif,data\processed\dataset_v3\tiles\train\DE09_Dusseldorf\conflict_masks\DE09_r001_c000_conflict.tif,0.6921718008170475,0.3053255308969121,0.0025026682860402,0.0,0.0,0.18365478515625
DE11_r006_c000,DE11,Hamburg,train,high_source_conflict,data\processed\dataset_v3\tiles\train\DE11_Hamburg\images\DE11_r006_c000_image.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\semantic_masks\DE11_r006_c000_semantic.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\validity_masks\DE11_r006_c000_validity.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\provenance_masks\DE11_r006_c000_provenance.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\support_masks\DE11_r006_c000_support.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\conflict_masks\DE11_r006_c000_conflict.tif,0.0286596202413244,0.0241885698250865,0.3524459826021887,0.0,0.5947058273314002,0.5201873779296875
DE11_r006_c003,DE11,Hamburg,train,high_water,data\processed\dataset_v3\tiles\train\DE11_Hamburg\images\DE11_r006_c003_image.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\semantic_masks\DE11_r006_c003_semantic.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\validity_masks\DE11_r006_c003_validity.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\provenance_masks\DE11_r006_c003_provenance.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\support_masks\DE11_r006_c003_support.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\conflict_masks\DE11_r006_c003_conflict.tif,0.0970609185790826,0.1074359689058193,0.0475703800055746,0.0,0.7479327325095234,0.0738983154296875
DE11_r006_c004,DE11,Hamburg,train,high_water,data\processed\dataset_v3\tiles\train\DE11_Hamburg\images\DE11_r006_c004_image.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\semantic_masks\DE11_r006_c004_semantic.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\validity_masks\DE11_r006_c004_validity.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\provenance_masks\DE11_r006_c004_provenance.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\support_masks\DE11_r006_c004_support.tif,data\processed\dataset_v3\tiles\train\DE11_Hamburg\conflict_masks\DE11_r006_c004_conflict.tif,0.1437618225182992,0.1152781204594676,0.0416700934835649,0.0,0.6992899635386682,0.1003875732421875
DE13_r005_c009,DE13,Hanover,train,high_bare_land,data\processed\dataset_v3\tiles\train\DE13_Hanover\images\DE13_r005_c009_image.tif,data\processed\dataset_v3\tiles\train\DE13_Hanover\semantic_masks\DE13_r005_c009_semantic.tif,data\processed\dataset_v3\tiles\train\DE13_Hanover\validity_masks\DE13_r005_c009_validity.tif,data\processed\dataset_v3\tiles\train\DE13_Hanover\provenance_masks\DE13_r005_c009_provenance.tif,data\processed\dataset_v3\tiles\train\DE13_Hanover\support_masks\DE13_r005_c009_support.tif,data\processed\dataset_v3\tiles\train\DE13_Hanover\conflict_masks\DE13_r005_c009_conflict.tif,0.126917348245316,0.0786798714364106,0.4749274869999216,0.2700096684000104,0.0494656249183412,0.0892486572265625
